record,start_time_hours,n_beats,median_offset_ms,p95_abs_offset_ms,max_abs_offset_ms
stream_p00000_000000,0.000000,1036,0.000000,0.000000,24.000000
stream_p00000_000001,0.166667,937,0.000000,0.000000,40.000000
stream_p00000_000002,0.333333,1000,0.000000,0.000000,20.000000
stream_p00000_000003,0.500000,1011,0.000000,0.000000,20.000000
stream_p00000_000004,0.666667,986,0.000000,0.000000,4.000000
stream_p00000_000005,0.833333,969,0.000000,0.000000,4.000000
stream_p00000_000006,1.000000,956,0.000000,0.000000,4.000000
stream_p00000_000007,1.166667,984,0.000000,0.000000,4.000000
stream_p00000_000008,1.333333,1040,0.000000,0.000000,56.000000
stream_p00000_000009,1.500000,1007,0.000000,0.000000,4.000000
stream_p00000_000010,1.666667,940,0.000000,0.000000,4.000000
stream_p00000_000011,1.833333,926,0.000000,0.000000,4.000000
stream_p00000_000012,2.000000,957,0.000000,0.000000,24.000000
stream_p00000_000013,2.166667,919,0.000000,0.000000,52.000000
stream_p00000_000014,2.333333,770,0.000000,0.000000,0.000000
stream_p00000_000015,2.500000,757,0.000000,0.000000,0.000000
stream_p00000_000016,2.666667,751,0.000000,0.000000,0.000000
stream_p00000_000017,2.833333,836,0.000000,0.000000,20.000000
stream_p00000_000018,3.000000,774,0.000000,0.000000,0.000000
stream_p00000_000019,3.166667,753,0.000000,0.000000,4.000000
stream_p00000_000020,3.333333,689,0.000000,0.000000,0.000000
stream_p00000_000021,3.500000,614,0.000000,0.000000,0.000000
stream_p00000_000022,3.666667,625,0.000000,0.000000,0.000000
stream_p00000_000023,3.833333,640,0.000000,0.000000,0.000000
stream_p00000_000024,4.000000,660,0.000000,0.000000,12.000000
stream_p00000_000025,4.166667,645,0.000000,0.000000,0.000000
stream_p00000_000026,4.333333,637,0.000000,0.000000,4.000000
stream_p00000_000027,4.500000,627,0.000000,0.000000,76.000000
stream_p00000_000028,4.666667,624,0.000000,0.000000,0.000000
stream_p00000_000029,4.833333,639,0.000000,0.000000,0.000000
stream_p00000_000030,5.000000,631,0.000000,0.000000,0.000000
stream_p00000_000031,5.166667,621,0.000000,0.000000,64.000000
stream_p00000_000032,5.333333,625,0.000000,0.000000,0.000000
stream_p00000_000033,5.500000,644,0.000000,0.000000,0.000000
stream_p00000_000034,5.666667,661,0.000000,0.000000,0.000000
stream_p00000_000035,5.833333,679,0.000000,0.000000,0.000000
stream_p00000_000036,6.000000,642,0.000000,0.000000,0.000000
stream_p00000_000037,6.166667,649,0.000000,0.000000,0.000000
stream_p00000_000038,6.333333,662,0.000000,0.000000,0.000000
stream_p00000_000039,6.500000,679,0.000000,0.000000,0.000000
stream_p00000_000040,6.666667,677,0.000000,0.000000,0.000000
stream_p00000_000041,6.833333,699,0.000000,0.000000,0.000000
stream_p00000_000042,7.000000,701,0.000000,0.000000,4.000000
stream_p00000_000043,7.166667,697,0.000000,0.000000,0.000000
stream_p00000_000044,7.333333,690,0.000000,0.000000,0.000000
stream_p00000_000045,7.500000,712,0.000000,0.000000,0.000000
stream_p00000_000046,7.666667,687,0.000000,0.000000,0.000000
stream_p00000_000047,7.833333,640,0.000000,0.000000,0.000000
stream_p00000_000048,8.000000,759,0.000000,0.000000,72.000000
stream_p00000_000049,8.166667,773,0.000000,0.000000,24.000000
stream_p00000_000050,8.333333,655,0.000000,0.000000,0.000000
stream_p00000_000051,8.500000,658,0.000000,0.000000,0.000000
stream_p00000_000052,8.666667,652,0.000000,0.000000,20.000000
stream_p00000_000053,8.833333,666,0.000000,0.000000,0.000000
stream_p00000_000054,9.000000,703,0.000000,0.000000,0.000000
stream_p00000_000055,9.166667,694,0.000000,0.000000,0.000000
stream_p00000_000056,9.333333,732,0.000000,0.000000,80.000000
stream_p00000_000057,9.500000,743,0.000000,0.000000,28.000000
stream_p00000_000058,9.666667,678,0.000000,0.000000,68.000000
stream_p00000_000059,9.833333,638,0.000000,0.000000,0.000000
stream_p00000_000060,10.000000,653,0.000000,0.000000,0.000000
stream_p00000_000061,10.166667,715,0.000000,0.000000,8.000000
stream_p00000_000062,10.333333,732,0.000000,0.000000,0.000000
stream_p00000_000063,10.500000,922,0.000000,0.000000,72.000000
stream_p00000_000064,10.666667,918,0.000000,0.000000,68.000000
stream_p00000_000065,10.833333,864,0.000000,0.000000,4.000000
stream_p00000_000066,11.000000,873,0.000000,0.000000,4.000000
stream_p00000_000067,11.166667,912,0.000000,0.000000,80.000000
stream_p00000_000068,11.333333,863,0.000000,0.000000,0.000000
stream_p00000_000069,11.500000,930,0.000000,0.000000,80.000000
stream_p00000_000070,11.666667,775,0.000000,0.000000,4.000000
stream_p00000_000071,11.833333,784,0.000000,0.000000,72.000000
stream_p00000_000072,12.000000,779,0.000000,0.000000,28.000000
stream_p00000_000073,12.166667,806,0.000000,0.000000,0.000000
stream_p00000_000074,12.333333,854,0.000000,0.000000,80.000000
stream_p00000_000075,12.500000,945,0.000000,0.000000,4.000000
stream_p00000_000076,12.666667,883,0.000000,0.000000,60.000000
stream_p00000_000077,12.833333,967,0.000000,0.000000,4.000000
stream_p00000_000078,13.000000,1002,0.000000,0.000000,80.000000
stream_p00000_000079,13.166667,983,0.000000,0.000000,80.000000
stream_p00000_000080,13.333333,785,0.000000,0.000000,24.000000
stream_p00000_000081,13.500000,789,0.000000,0.000000,4.000000
stream_p00000_000082,13.666667,974,0.000000,0.000000,28.000000
stream_p00000_000083,13.833333,856,0.000000,0.000000,24.000000
stream_p00000_000084,14.000000,717,0.000000,0.000000,0.000000
stream_p00000_000085,14.166667,686,0.000000,0.000000,0.000000
stream_p00000_000086,14.333333,685,0.000000,0.000000,80.000000
stream_p00000_000087,14.500000,701,0.000000,0.000000,24.000000
stream_p00000_000088,14.666667,684,0.000000,0.000000,0.000000
stream_p00000_000089,14.833333,692,0.000000,0.000000,0.000000
stream_p00000_000090,15.000000,695,0.000000,0.000000,0.000000
stream_p00000_000091,15.166667,637,0.000000,0.000000,0.000000
stream_p00000_000092,15.333333,688,0.000000,0.000000,0.000000
stream_p00000_000093,15.500000,737,0.000000,0.000000,32.000000
stream_p00000_000094,15.666667,731,0.000000,0.000000,0.000000
stream_p00000_000095,15.833333,720,0.000000,0.000000,0.000000
stream_p00000_000096,16.000000,706,0.000000,0.000000,0.000000
stream_p00000_000097,16.166667,692,0.000000,0.000000,4.000000
stream_p00000_000098,16.333333,696,0.000000,0.000000,4.000000
stream_p00000_000099,16.500000,677,0.000000,0.000000,0.000000
stream_p00000_000100,16.666667,720,0.000000,0.000000,80.000000
stream_p00000_000101,16.833333,705,0.000000,0.000000,48.000000
stream_p00000_000102,17.000000,698,0.000000,0.000000,4.000000
stream_p00000_000103,17.166667,685,0.000000,0.000000,0.000000
stream_p00000_000104,17.333333,697,0.000000,0.000000,0.000000
stream_p00000_000105,17.500000,693,0.000000,0.000000,0.000000
stream_p00000_000106,17.666667,680,0.000000,0.000000,0.000000
stream_p00000_000107,17.833333,686,0.000000,0.000000,0.000000
stream_p00000_000108,18.000000,689,0.000000,0.000000,0.000000
stream_p00000_000109,18.166667,672,0.000000,0.000000,0.000000
stream_p00000_000110,18.333333,706,0.000000,0.000000,0.000000
stream_p00000_000111,18.500000,696,0.000000,0.000000,0.000000
stream_p00000_000112,18.666667,673,0.000000,0.000000,0.000000
stream_p00000_000113,18.833333,672,0.000000,0.000000,0.000000
stream_p00000_000114,19.000000,697,0.000000,0.000000,0.000000
stream_p00000_000115,19.166667,886,0.000000,0.000000,80.000000
stream_p00000_000116,19.333333,736,0.000000,0.000000,68.000000
stream_p00000_000117,19.500000,832,0.000000,0.000000,72.000000
stream_p00000_000118,19.666667,933,0.000000,0.000000,64.000000
stream_p00000_000119,19.833333,845,0.000000,0.000000,0.000000
stream_p00000_000120,20.000000,827,0.000000,0.000000,0.000000
stream_p00000_000121,20.166667,849,0.000000,0.000000,4.000000
stream_p00000_000122,20.333333,859,0.000000,0.000000,0.000000
stream_p00000_000123,20.500000,914,0.000000,0.000000,80.000000
stream_p00000_000124,20.666667,929,0.000000,0.000000,72.000000
stream_p00000_000125,20.833333,832,0.000000,0.000000,0.000000
stream_p00000_000126,21.000000,915,0.000000,0.000000,80.000000
stream_p00000_000127,21.166667,934,0.000000,0.000000,64.000000
stream_p00000_000128,21.333333,905,0.000000,0.000000,0.000000
stream_p00000_000129,21.500000,899,0.000000,0.000000,0.000000
stream_p00000_000130,21.666667,841,0.000000,0.000000,4.000000
stream_p00000_000131,21.833333,743,0.000000,0.000000,4.000000
stream_p00000_000132,22.000000,852,0.000000,0.000000,80.000000
stream_p00000_000133,22.166667,1109,0.000000,0.000000,68.000000
stream_p00000_000134,22.333333,1068,0.000000,0.000000,80.000000
stream_p00000_000135,22.500000,1037,0.000000,0.000000,68.000000
stream_p00000_000136,22.666667,977,0.000000,0.000000,56.000000
stream_p00000_000137,22.833333,942,0.000000,0.000000,32.000000
stream_p00000_000138,23.000000,930,0.000000,0.000000,0.000000
stream_p00000_000139,23.166667,996,0.000000,0.000000,72.000000
stream_p00000_000140,23.333333,996,0.000000,0.000000,40.000000
stream_p00000_000141,23.500000,987,0.000000,0.000000,4.000000
stream_p00000_000142,23.666667,951,0.000000,0.000000,76.000000
stream_p00000_000143,23.833333,1010,0.000000,0.000000,80.000000
stream_p00000_000144,24.000000,1036,0.000000,0.000000,80.000000
stream_p00000_000145,24.166667,1049,0.000000,0.000000,80.000000
stream_p00000_000146,24.333333,1037,0.000000,0.000000,68.000000
stream_p00000_000147,24.500000,958,0.000000,0.000000,4.000000
stream_p00000_000148,24.666667,1001,0.000000,0.000000,4.000000
stream_p00000_000149,24.833333,1027,0.000000,0.000000,4.000000
stream_p00000_000150,25.000000,900,0.000000,0.000000,4.000000
stream_p00000_000151,25.166667,859,0.000000,0.000000,4.000000
stream_p00000_000152,25.333333,834,0.000000,0.000000,4.000000
stream_p00000_000153,25.500000,846,0.000000,0.000000,4.000000
stream_p00000_000154,25.666667,690,0.000000,0.000000,0.000000
stream_p00000_000155,25.833333,698,0.000000,0.000000,0.000000
stream_p00000_000156,26.000000,719,0.000000,0.000000,80.000000
stream_p00000_000157,26.166667,686,0.000000,0.000000,0.000000
stream_p00000_000158,26.333333,681,0.000000,0.000000,0.000000
stream_p00000_000159,26.500000,682,0.000000,0.000000,4.000000
stream_p00000_000160,26.666667,664,0.000000,0.000000,0.000000
stream_p00000_000161,26.833333,668,0.000000,0.000000,0.000000
stream_p00000_000162,27.000000,840,0.000000,0.000000,72.000000
stream_p00000_000163,27.166667,710,0.000000,0.000000,60.000000
stream_p00000_000164,27.333333,643,0.000000,0.000000,0.000000
stream_p00000_000165,27.500000,667,0.000000,0.000000,0.000000
